"User";"Учеба";"Учеба - 01";"Учеба - 02";"Учеба - 03";"Учеба - 04";"Учеба - 01 - common";"Учеба - 01 - tech-questions";"Учеба - 02 - vacancy";"Учеба - 03 - Vacancies"
"HUAWEI-LAPTOP\avori";"Write";"Write";"Write";"Write";"Write";"Write";"Write";"Write";"Write"
